Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Style (product.metafields.app--4560999.style),Carats Max (product.metafields.nivoda.caratsmax),Carats Min (product.metafields.nivoda.caratsmin),Nivoda Stock ID (product.metafields.nivoda.nivodastockid),Setting Stock ID (product.metafields.nivoda.settingstockid),Supported Shapes (product.metafields.nivoda.supportedshapes),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-wave-ring,The Wave Ring,"<p>Inspired by the natural flow of waves and organic forms, this ring offers a serene, flowing design perfect for those drawn to the beauty of the outdoors.</p>
    <table style=""width:100%; border:none; border-collapse:collapse;"">
      <tr>
        <td style=""text-align:left; border:none;""><strong>Band width</strong></td>
        <td style=""text-align:right; border:none;"">2.10 mm</td>
      </tr>
      
    </table>
    ",The Diamond Guy™ ,,setting,"",true,Metal,9K White Gold,,Shape,Marquise,,,,,,0.0,,0,deny,manual,13580.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_FRONT.jpg?v=1769692008,1,"",false,,,nature,3.0,0.5,UN013-R-1ST,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN.jpg?v=1769692011,kg,,,active
the-wave-ring,,,,,,,,,9K Yellow Gold,,,Marquise,,,,,,0.0,,0,deny,manual,13580.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN_017e4556-814f-4fc0-8842-2be915e4b892.jpg?v=1769692011,2,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_YELLOW_DOWN_10801255-887c-4519-acda-f42c546e093e.jpg?v=1769692011,kg,,,
the-wave-ring,,,,,,,,,9K Rose Gold,,,Marquise,,,,,,0.0,,0,deny,manual,13580.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_YELLOW_DOWN_6adcd9e0-f232-4576-93cb-9ae56c92069f.jpg?v=1769692010,3,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_ROSE_DOWN_bfd937ee-ce4b-46e7-8c76-2779f1904428.jpg?v=1769692010,kg,,,
the-wave-ring,,,,,,,,,14K White Gold,,,Marquise,,,,,,0.0,,0,deny,manual,19600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_ROSE_DOWN_5cb2ca9a-6a1a-4c62-8104-eb5f03274402.jpg?v=1769692010,4,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN.jpg?v=1769692011,kg,,,
the-wave-ring,,,,,,,,,14K Yellow Gold,,,Marquise,,,,,,0.0,,0,deny,manual,19600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN_358006b6-d1fa-4f52-acd5-0f967cd25d60.jpg?v=1769692011,5,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_YELLOW_DOWN_10801255-887c-4519-acda-f42c546e093e.jpg?v=1769692011,kg,,,
the-wave-ring,,,,,,,,,14K Rose Gold,,,Marquise,,,,,,0.0,,0,deny,manual,19600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_YELLOW_DOWN.jpg?v=1769692011,6,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_ROSE_DOWN_bfd937ee-ce4b-46e7-8c76-2779f1904428.jpg?v=1769692010,kg,,,
the-wave-ring,,,,,,,,,18K White Gold,,,Marquise,,,,,,0.0,,0,deny,manual,27440.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_ROSE_DOWN.jpg?v=1769692011,7,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN.jpg?v=1769692011,kg,,,
the-wave-ring,,,,,,,,,18K Yellow Gold,,,Marquise,,,,,,0.0,,0,deny,manual,27440.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN_367fc092-e48e-4a90-82c0-8452bbaae1f1.jpg?v=1769692011,8,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_YELLOW_DOWN_10801255-887c-4519-acda-f42c546e093e.jpg?v=1769692011,kg,,,
the-wave-ring,,,,,,,,,18K Rose Gold,,,Marquise,,,,,,0.0,,0,deny,manual,27440.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_YELLOW_DOWN_10801255-887c-4519-acda-f42c546e093e.jpg?v=1769692011,9,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_ROSE_DOWN_bfd937ee-ce4b-46e7-8c76-2779f1904428.jpg?v=1769692010,kg,,,
the-wave-ring,,,,,,,,,950 Platinum,,,Marquise,,,,,,0.0,,0,deny,manual,26130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_ROSE_DOWN_bfd937ee-ce4b-46e7-8c76-2779f1904428.jpg?v=1769692010,10,"",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/4768/7024/files/RG1002656_WHITE_DOWN.jpg?v=1769692011,kg,,,
